feature,importance
VOLUME_NET_OVER_WT,0.06589277
TEXTURE_GLRLM_ED_T1Gd_LGRE,0.06115819
TEXTURE_GLSZM_NET_FLAIR_LZHGE,0.059389483
SOLIDITY_ED,0.0381012
TEXTURE_GLCM_NET_T2_Contrast,0.03465238
HISTO_ET_FLAIR_Bin5,0.03331115
TEXTURE_GLRLM_ED_T2_GLN,0.03307693
HISTO_ET_T1_Bin9,0.030779019
TEXTURE_GLCM_ET_FLAIR_Energy,0.029652277
HISTO_ED_T1Gd_Bin7,0.028548447
HISTO_NET_T1_Bin1,0.028270587
TEXTURE_GLSZM_ED_T2_LGZE,0.024648197
HISTO_ET_T1_Bin5,0.024573723
TEXTURE_GLRLM_ED_FLAIR_HGRE,0.020419668
HISTO_NET_FLAIR_Bin10,0.019789306
TEXTURE_GLCM_ET_FLAIR_Dissimilarity,0.017256657
HISTO_ED_FLAIR_Bin10,0.01600718
TEXTURE_GLCM_ED_T2_Variance,0.015817024
SPATIAL_Temporal,0.015740193
SPATIAL_Insula,0.015663467
TEXTURE_GLSZM_ED_T2_SZE,0.014389102
TEXTURE_GLRLM_ED_T2_GLV,0.0143852765
HISTO_ET_T1_Bin8,0.014211367
INTENSITY_Mean_ET_FLAIR,0.013965383
TEXTURE_GLRLM_ED_T1Gd_LRLGE,0.013694271
SPATIAL_Frontal,0.012802288
HISTO_NET_T2_Bin2,0.012723198
HISTO_NET_FLAIR_Bin6,0.012115474
HISTO_NET_T2_Bin7,0.012048918
TEXTURE_GLRLM_ED_T1_SRLGE,0.01167363
TEXTURE_GLOBAL_ED_T1Gd_Skewness,0.0111014815
HISTO_NET_T1_Bin4,0.011100797
TEXTURE_GLSZM_NET_T2_SZLGE,0.010936936
TEXTURE_GLSZM_ET_T1_ZSV,0.01059163
TEXTURE_GLOBAL_ED_T1_Skewness,0.0103876125
TEXTURE_GLCM_NET_T2_Homogeneity,0.010119964
TEXTURE_GLSZM_ED_FLAIR_SZHGE,0.010104532
HISTO_ET_T2_Bin4,0.009930273
TEXTURE_GLSZM_ED_FLAIR_LZLGE,0.009287456
TGM_Cog_Y_1,0.008292449
TEXTURE_GLSZM_ED_T1Gd_GLN,0.0077103702
TEXTURE_GLCM_ED_T1Gd_Correlation,0.0074916002
TEXTURE_GLSZM_ET_T2_LZLGE,0.007126091
TEXTURE_GLCM_NET_T2_Variance,0.0065435222
TEXTURE_GLSZM_ED_T1_LZHGE,0.0065250862
TEXTURE_GLRLM_ET_T2_LGRE,0.0062925178
VOLUME_ET_OVER_NET,0.0058348523
TEXTURE_GLSZM_ED_T2_LZLGE,0.005781585
TEXTURE_GLSZM_ED_FLAIR_SZE,0.00567311
TEXTURE_GLRLM_NET_T2_LRLGE,0.0051595233
INTENSITY_Mean_ED_T1Gd,0.0050847237
TEXTURE_GLRLM_NET_FLAIR_GLN,0.0045874957
TEXTURE_GLRLM_NET_T2_GLN,0.0044373586
TEXTURE_GLSZM_ED_T1Gd_SZHGE,0.0044235573
HISTO_ET_T1_Bin1,0.004404393
HISTO_NET_T1Gd_Bin7,0.004370548
TEXTURE_GLSZM_NET_T1_SZHGE,0.0037450425
TEXTURE_GLRLM_ED_T1Gd_RLV,0.0035625112
TEXTURE_GLRLM_NET_T1Gd_GLV,0.0032734985
HISTO_NET_T1_Bin5,0.0031233232
HISTO_ET_T1_Bin10,0.0030161706
TEXTURE_GLOBAL_NET_T2_Variance,0.0029934805
TEXTURE_GLRLM_NET_T2_SRHGE,0.002977939
TEXTURE_GLOBAL_ED_FLAIR_Kurtosis,0.0029723765
TEXTURE_NGTDM_ED_T1_Coarseness,0.0029372638
HISTO_NET_T2_Bin8,0.002697901
TEXTURE_GLOBAL_ET_FLAIR_Skewness,0.0026653614
TGM_dw,0.0025216518
HISTO_ED_T2_Bin1,0.0024938784
TEXTURE_GLRLM_ED_FLAIR_GLV,0.0022439568
INTENSITY_STD_ED_T2,0.0021833132
TEXTURE_GLRLM_ET_T2_LRHGE,0.0021600057
HISTO_ET_FLAIR_Bin7,0.0020004965
TEXTURE_NGTDM_NET_T1Gd_Contrast,0.0019974804
TEXTURE_GLCM_NET_FLAIR_Correlation,0.0018674377
HISTO_ET_T1_Bin4,0.0018630784
INTENSITY_STD_ED_FLAIR,0.0016681834
HISTO_ET_T1_Bin6,0.0016642794
TEXTURE_GLOBAL_NET_T2_Kurtosis,0.0015634024
HISTO_ED_T2_Bin7,0.0013196425
ECCENTRICITY_NET,0.0012265386
VOLUME_WT_OVER_BRAIN,0.0008941058
HISTO_ED_T1Gd_Bin2,0.00029053123
TEXTURE_GLCM_ED_T1_Variance,2.0968888e-05
